id,text,screen_name,created_at,retweet_count,favorite_count,friends_count,followers_count,lang,country
1247373725743210496,Honestly i would love to celebrate the people who recovered from covid 19. Literally a milestone.,fleon_13,Tue Apr 07 04:00:45 +0000 2020,0,0,296,344,en,United States
1247373747012567041,@TimesNow Harassing a person in the name of Coronavirus is wrong irrespective of their religion.,DBardaloi,Tue Apr 07 04:00:51 +0000 2020,0,0,3917,3450,en,India
1247373749705302016,"@ShashiTharoor You should  understand  that  each MP constituency,  in India the  #COVID19 #Covid_19 cases varies f… https://t.co/r2EyuVtWNc",rjagadishy,Tue Apr 07 04:00:51 +0000 2020,0,0,225,148,en,India
1247373750221168640,Tartine Bakery: Recall laid off Tartine Workers &amp; Service Workers due to the COVID-19 Pandemic - Sign the Petition!… https://t.co/7qA3MxFjGD,StacyVillalobos,Tue Apr 07 04:00:51 +0000 2020,0,0,4103,1259,en,United States
1247373762892357632,"Coronavirus: Africa will not be testing ground for vaccine, says WHO https://t.co/F24WrHnYWy",Aurora_313Poet,Tue Apr 07 04:00:54 +0000 2020,0,0,995,657,en,United States
1247373768021946369,Breaking News !! Trump was warned that the coronavirus could have tragic impact in USA by Peter Novaro in Jan 2020!… https://t.co/1yO7hzjpy4,cmspeaksout1,Tue Apr 07 04:00:56 +0000 2020,0,0,231,192,en,Canada
1247373829980160001,Nice to know there’s some upside &gt; Coronavirus lockdowns have changed the way Earth moves https://t.co/goRmNXOAF8,AJBOSE,Tue Apr 07 04:01:10 +0000 2020,0,0,1158,544,en,United States
1247373946879500288,"pases por encima de mi angustia, de mi temor, de la epidemia del coronavirus y trae la paz y la calma al mar de mi… https://t.co/mxiKCnUbKu",JuanMan97986,Tue Apr 07 04:01:38 +0000 2020,0,0,651,158,es,México
1247373977598730240,This woman is killing others! #COVID19,AllisonScussel,Tue Apr 07 04:01:46 +0000 2020,0,0,227,111,en,United States
1247374001237897217,Heal the world in a different way: https://t.co/XyyB28mepf #covid19 plz go away,sky_as_sama,Tue Apr 07 04:01:51 +0000 2020,0,0,1581,812,en,United States
