id,text,screen_name,created_at,retweet_count,favorite_count,friends_count,followers_count,lang,country,sentiment
"1,24737372574321E+018",Honestly i would love to celebrate the people who recovered from covid 19. Literally a milestone.,fleon_13,Tue Apr 07 04:00:45 +0000 2020,0,0,296,344,en,United States,positive
"1,24737374701257E+018",@TimesNow Harassing a person in the name of Coronavirus is wrong irrespective of their religion.,DBardaloi,Tue Apr 07 04:00:51 +0000 2020,0,0,3917,3450,en,India,negative
"1,24737376289236E+018","Coronavirus: Africa will not be testing ground for vaccine, says WHO",Aurora_313Poet,Tue Apr 07 04:00:54 +0000 2020,0,0,995,657,en,United States,neutral
"1,24737382998016E+018",Nice to know there’s some upside &gt; Coronavirus lockdowns have changed the way Earth moves,AJBOSE,Tue Apr 07 04:01:10 +0000 2020,0,0,1158,544,en,United States,neutral
"1,24737397759873E+018",This woman is killing others! #COVID19,AllisonScussel,Tue Apr 07 04:01:46 +0000 2020,0,0,227,111,en,United States,negative
"1,2473740012379E+018",Heal the world in a different way: #covid19 plz go away,sky_as_sama,Tue Apr 07 04:01:51 +0000 2020,0,0,1581,812,en,United States,neutral
"1,24737407229761E+018","Device distribution = distance learning for our students. Take that, Covid-19... Can’t keep the pumas down 🐾 💙💚 ✌🏻",Lil_Ames1,Tue Apr 07 04:02:08 +0000 2020,0,0,659,649,en,United States,positive
"1,24737414835708E+018","Yo no me voy a morir de coronavirus, me voy a morir de cirrosis si sigo encerrada sin trabajar.",melissajimenezm,Tue Apr 07 04:02:26 +0000 2020,0,0,321,119,es,México,negative
"1,24737414904096E+018",I miss #Hockey #NHL #FlaPanthers Can this #coronavirus be over with? @ BB&amp;T Center,BlueChip48,Tue Apr 07 04:02:26 +0000 2020,0,0,1455,1386,en,United States,negative
"1,24737422726875E+018",Thanks to Medical Army of INDIA 🇮🇳 #WorldHealthDay2020 #StaySafe #COVID19 @MYFMIndia,RJ_REXX,Tue Apr 07 04:02:45 +0000 2020,0,0,140,3592,en,India,positive
"1,2473742415713E+018","Stepping out of our homes, day 1 of post-quarantine. #COVID19 #QuarantineLife",oh_hash,Tue Apr 07 04:02:48 +0000 2020,0,0,1178,259,en,United States,neutral
"1,24737426151543E+018",Why COVID-19 is not the ‘great equalizer’ when it comes to race in the US,BrianOSheaSPI,Tue Apr 07 04:02:53 +0000 2020,0,0,440,662,en,United States,negative
"1,24737434564897E+018",Shout out all the rappers that said they got 2020 vision didn’t see this coming did ya #coronavirus,JackCrowleyyy,Tue Apr 07 04:03:13 +0000 2020,0,0,407,358,en,United Kingdom,neutral
"1,24737437411572E+018",CONVOCA IMSS A PROFESIONALES DE LA SALUD PARA ATENDER COVID-19.,chechenoticias,Tue Apr 07 04:03:20 +0000 2020,0,0,178,331,es,México,neutral
"1,24737438723547E+018",Watch the full YouTube interview of the younger generations take on Covid19,rehmancee,Tue Apr 07 04:03:23 +0000 2020,0,0,24,13,en,United States,neutral
"1,2473744097002E+018",Can we put coronavirus in the transfer portal?,DawgatAuburn,Tue Apr 07 04:03:29 +0000 2020,0,0,352,721,en,United States,neutral
"1,24737443465209E+018",The moon of COVID-19. April 6th 2020 #astrophotography #moon @ Colonia Del Valle,RoyMT,Tue Apr 07 04:03:34 +0000 2020,0,0,352,270,en,Mexico,neutral
"1,24737444991511E+018","@BethMooreLPM Pray, mask, feed, repeat! #COVID19 #TEACHers #Students #faith #Arkansas",gigi__davis,Tue Apr 07 04:03:38 +0000 2020,0,0,438,439,en,United States,neutral
"1,24737446421337E+018",Coronavirus chills Seattle's red-hot real estate market,lori_vassallo,Tue Apr 07 04:03:42 +0000 2020,0,0,4617,5414,en,United States,neutral
"1,24737451834944E+018",grad school interview on wednesday bc coronavirus can’t stop me from powering up,ChadDuBois,Tue Apr 07 04:03:54 +0000 2020,0,0,915,3634,en,United States,neutral
"1,24737454839744E+018",@NationBreaking The Apocalypse 😢🥵😱🆘 #Covid_19 #COVID19 #CoronaVirusUSA,BeingCharlie,Tue Apr 07 04:04:02 +0000 2020,0,0,64,3824,en,Kenya,negative
"1,24737463602482E+018",Dios nos libre de tener a un amigo o familiar con Coronavirus. 😢 O sea la vaina ya está aquí #Táchira o sea qué susto. O sea fuck.,BilsanRestrepo,Tue Apr 07 04:04:22 +0000 2020,0,0,711,1068,es,Venezuela,negative
"1,2473746641223E+018",UK PM Boris Johnson Moved To Intensive Care As COVID-19 Symptoms Worsen,ZaapGossip,Tue Apr 07 04:04:29 +0000 2020,0,0,783,115,en,ประเทศไทย,neutral
"1,24737466492338E+018",@Telcel @MovistarMX @ATTMx regalan minutos y mensajes por #Covid19 👇🏻,TutePower,Tue Apr 07 04:04:29 +0000 2020,0,0,496,1298,es,México,neutral
"1,24737472798896E+018",Leave it to Chump to try and profit off the pandemic. #CoronaVirusUpdates,Lopeezie,Tue Apr 07 04:04:44 +0000 2020,0,0,5297,4976,en,United States,neutral
"1,24737532844152E+018","Me enchila mucho ver en sus estados e historias que están a toda madre con sus compas, como si les Valeria un 🥒 el COVID-19",ChristinaOMz,Tue Apr 07 04:07:08 +0000 2020,0,0,225,300,es,México,neutral
"1,24737551160655E+018","Essential worker, Instacart and stocks, yeah I’m not about to let Covid-19 stop my grind 😤",Rufino_12_,Tue Apr 07 04:07:51 +0000 2020,0,0,233,130,en,United States,neutral
"1,24733311977605E+018",HUMANITARIAN CRISIS: Warning of 'bodies in the streets' if #COVID-19 takes off in #PNG ,FijiSchProjects,Tue Apr 07 01:19:24 +0000 2020,0,0,1687,353,en,Papua New Guinea,negative
"1,24737562524294E+018","A causa del coronavirus, una pareja de recién casados quedaron atrapados en las islas M A L D I V A S. 😭😭😭",patrimarecos,Tue Apr 07 04:08:18 +0000 2020,0,0,401,600,es,Paraguay,negative
"1,24737564197831E+018",new york state alone is top five worldwide in covid-19 cases compared to countries,uptownascension,Tue Apr 07 04:08:22 +0000 2020,0,0,288,970,en,United States,positive
"1,24737578890891E+018",who's going to stand up and release #nyccoronavirus data broken down by race?,RustyZimms,Tue Apr 07 04:08:57 +0000 2020,0,0,578,688,en,United States,neutral
"1,2473759529817E+018","#knowthedifference #flu #cold #allergies #coronavirus #sick #sickness #symptoms @ Bixby Knolls, Long Beach",beatricerenee,Tue Apr 07 04:09:36 +0000 2020,0,0,539,361,en,United States,neutral
"1,24737599317559E+018",A few shots of Lautoka City after the lockdown ended at 5am today. #FijiNews #COVID19,fnaikaso,Tue Apr 07 04:09:46 +0000 2020,0,0,710,2106,en,Fiji,negative
"1,24737619179278E+018","It was the best of times, it was the worst of times. As Charles Dickens would say if he were alive. #COVID19",ncantonioonline,Tue Apr 07 04:10:33 +0000 2020,0,0,1995,228,en,Kingdom of Saudi Arabia,neutral
"1,24737619197721E+018",Either he received a letter or has covid-19.,dianesbaker1,Tue Apr 07 04:10:33 +0000 2020,0,0,1813,3122,en,Canada,negative
"1,24737620424976E+018",Two more Sri Lankans aged 62 &amp; 72 in the UK reportedly died from coronavirus @GoldNewsLK,raprasadh,Tue Apr 07 04:10:36 +0000 2020,0,0,583,495,en,Sri Lanka,negative
"1,24737628745233E+018","@peru21noticias @PoliciaPeru 2020 y que sigan pasando estas cosas... coronavirus acaba con tanta gente estupida, por favor!",fra_jba,Tue Apr 07 04:10:56 +0000 2020,0,0,1514,1981,es,Chile,negative
"1,24737631665726E+018",@daiannyy Covid-19,1petronioo,Tue Apr 07 04:11:03 +0000 2020,0,0,1055,1073,en,Brasil,neutral
"1,24737632045295E+018",Coronavirus and the Flu Have a Lot of Symptoms in Common - Here's What You Need to Know,CelebFitnessTV,Tue Apr 07 04:11:04 +0000 2020,0,0,83,806,en,United Kingdom,negative
